id;name;article_A1;article_A2;article_A3;article_A4;article_B1;article_B2;article_B3;article_B4;guidance_d_c;guidance_m_c;patent;software;first_doc
793;Kleber José Fonseca Simões;0;0;0;0;0;0;0;0;0;0;0;0;2023
794;Roselí Maria Cardoso Ribeiro;0;0;0;0;0;0;0;0;0;0;0;0;0
795;Patricia Vilela Da Silva;0;0;0;0;0;0;0;0;0;0;0;0;2020
796;Eduardo Gross;5;4;2;2;1;2;0;1;14;7;0;0;2002
797;Edney Nascimento Matos;0;0;0;0;0;0;0;0;0;0;0;0;0
798;Valquíria Claudete Machado Borba;0;0;0;1;0;0;0;0;0;17;0;0;2009
799;Edinusia Moreira Carneiro Santos;0;0;0;0;1;0;1;0;0;0;0;0;2007
800;Antonio Carlos De Oliveira;0;0;0;0;0;0;0;0;1;6;0;0;2002
801;Manuela Barreto De Araújo;0;0;0;0;0;0;0;0;0;0;0;0;0
802;Adriano Marcus Stuchi;0;0;1;0;0;0;0;0;0;5;0;0;2011
803;Floriza Maria Sena Fernandes;0;0;0;0;0;0;0;0;0;0;0;0;0
804;Rogério Luiz Silva de Oliveira;0;0;0;0;0;0;0;1;0;1;0;0;2016
805;Manoela Carrera Martinez Cavalcante Pereira;0;18;0;2;1;1;16;2;0;0;0;0;2012
806;Maria Luzia Braga Landim;0;0;0;0;0;2;0;0;0;0;0;0;2014
807;Glêide Magali Lemos Pinheiro;0;0;0;0;1;0;0;0;0;0;0;0;2011
808;Julieta Rangel De Oliveira;1;7;4;7;2;1;0;0;0;7;1;0;2012
809;Luís Geraldo Leão Guimarães;0;1;0;0;0;0;0;0;0;0;0;0;2021
810;Angelita De Souza Leite;0;0;0;0;0;0;0;0;0;0;0;0;2021
811;Jocilene Santana Prado;0;0;0;0;0;0;0;2;0;0;0;0;0
812;Vilmary Silva Novaes;0;0;0;0;0;1;0;0;0;0;0;0;0
813;Maria Alba Guedes Machado Mello;0;0;0;0;0;0;0;0;0;1;0;0;2015
814;Lidia Cristina Villela Ribeiro;0;2;1;1;3;0;0;0;0;0;0;0;2000
815;Simoni Tormohlen Gehlen;13;3;0;0;1;0;1;0;0;20;0;0;2009
816;Gildomar Lima Valasques Junior;0;2;1;1;2;2;0;0;1;11;0;0;2014
817;Kedma Silvana Bastos Barreto;0;0;0;0;0;0;0;0;0;0;0;0;0
818;Maria Auxiliadora Ribeiro Ledo;0;0;0;0;0;0;0;0;0;0;0;0;0
819;Liliam Aquino Meireles Dos Santos;0;0;0;0;0;0;0;0;0;0;0;0;0
820;Cristiane Alves Paz De Carvalho;0;0;0;0;1;0;6;0;0;0;0;0;2012
821;Edson Oliveira Da Silva;0;0;1;1;0;0;0;0;0;0;0;0;2016
822;Gidevaldo Novais Dos Santos;0;0;0;0;0;0;0;2;0;0;0;0;2023
823;Maria Esther Ventin De Oliveira Prates;0;0;0;0;0;0;0;0;0;0;0;0;2017
824;Ana Paula Teles de Oliveira;0;0;0;0;0;1;1;0;0;0;0;0;2017
825;Magdalânia Cauby França;0;0;0;0;0;0;0;0;0;0;0;0;0
826;Luciana Cristina Teixeira De Souza;0;0;0;0;0;0;0;0;0;0;0;0;2020
827;Margarete Nascimento Dos Santos;0;0;0;0;0;0;0;0;0;0;0;0;2021
828;Lacita Menezes Skalinski;4;0;4;0;2;4;1;0;0;0;0;0;2022
829;Marla Silva Do Vale Satorno;0;0;0;0;0;0;0;0;0;0;0;0;2022
830;Andrea Betânia da Silva;0;0;0;0;2;0;0;0;0;1;0;0;2014
831;Tatiane Dias Casimiro Valença;0;0;0;0;3;0;1;0;0;0;0;0;2017
832;Solange Rodrigues Dos Santos Corrêa;0;0;0;6;1;0;0;3;0;0;0;0;2013
833;Arlete José Da Silveira;0;0;0;0;0;0;0;0;0;0;0;0;2000
834;Rafaela Rocha De Oliveira;1;0;1;1;0;0;0;0;0;0;0;0;0
835;Gabriela Ribeiro Peixoto Rezende Pinto;0;0;0;0;0;0;0;0;0;0;0;0;2010
836;Vitória Solange Coelho Ferreira;0;1;1;1;0;0;0;0;0;4;0;0;2008
837;Anaelson Leandro de Sousa;0;0;0;0;0;0;0;0;0;0;0;0;0
838;Fatima Lucia De Brito Dos Santos;0;0;0;0;0;0;0;1;0;0;0;0;2014
839;Marilene Lopes Da Rocha;0;1;0;0;0;0;0;0;0;0;0;0;2010
840;Agnes Claudine Fontes De La Longuiniere;0;0;1;0;6;0;0;0;0;0;0;0;2021
841;Marcos dos Santos Ferreira;0;0;0;1;1;0;0;0;0;0;0;0;2020
842;Maria Jucilene Lima Ferreira;1;2;0;3;1;0;0;0;0;10;0;0;2015
843;Zezito Rodrigues da Silva;0;0;0;0;1;0;0;0;0;0;0;0;2021
844;Julice Oliveira Dias Dos Santos;0;0;0;0;0;0;0;0;0;0;0;0;0
845;Marcos Augusto De Castro Peres;0;1;1;0;0;0;0;2;0;0;0;0;2007
846;Rodrigo Veiga Tenório De Albuquerque;0;0;0;0;2;1;0;0;0;4;0;0;2011
847;Valdira De Jesus Santos;0;2;0;3;0;0;0;0;0;2;0;0;2013
848;Ludimila Mota Nunes;0;0;0;0;0;0;0;0;0;0;0;0;0
849;Almerinda Andrea Pontes Silva Gomes;0;0;0;0;0;0;0;0;0;0;0;0;0
850;Jane Sara Freitas Lopes;0;0;0;0;0;0;0;0;0;0;0;0;0
851;Rosemere Ferreira da Silva;0;4;0;0;0;0;0;0;0;14;0;0;2010
852;Fernanda Amato Gaiotto;6;7;3;1;0;2;1;0;15;14;0;0;2001
853;Andréa Braz Da Costa;0;0;0;0;0;0;0;2;0;0;0;0;2015
854;Izaltina Silva Jardim Cavalli;0;1;3;2;1;0;0;0;0;4;1;0;2005
855;Rosana Cruz Marques Da Silva;0;0;0;0;0;0;0;0;0;0;0;0;0
856;José Augusto Gomes Azevêdo;9;9;1;0;0;1;0;0;20;14;0;1;2008
857;Maria Lúcia Del-Grande;0;0;0;0;0;0;0;0;0;3;0;0;2002
858;Cristiane Aparecida De Cerqueira;2;1;1;1;0;1;0;0;0;2;0;0;2015
859;Guadalupe Edilma Licona de Macedo;0;0;3;0;2;0;1;0;0;16;1;0;2007
860;Itana Nogueira Nunes;0;0;0;0;0;0;0;0;0;0;0;0;2004
861;Leonardo De Carvalho Duarte;0;3;1;0;1;1;0;0;0;0;0;0;2021
862;Cláudia Pons Cardoso;0;0;1;0;1;0;0;0;0;7;0;0;2012
863;Adilma Nunes Rocha;0;0;0;0;0;0;0;0;0;0;0;0;0
864;Edrian Mania;0;0;0;0;1;0;0;0;0;0;0;0;2019
865;Erica Valeria Alves;0;0;0;0;0;1;0;0;0;31;0;0;2005
866;Renato Reis Monteiro;0;0;0;0;0;0;0;0;0;0;0;0;2014
867;Welington Araújo Silva;1;1;0;0;1;0;0;0;0;0;0;0;2009
868;Edinelia Maria Oliveira Souza;0;0;0;0;0;0;0;0;0;7;0;0;2012
869;Silvane Maria Braga Santos;0;1;0;0;0;0;0;0;0;0;0;0;2005
870;Marinalva De Oliveira Silva;0;0;0;0;0;0;0;0;0;0;0;0;0
871;Daniella Santos Magalhães;0;0;0;0;0;0;0;1;0;0;0;0;2022
872;Iure Pedroza Menezes;0;0;0;1;0;0;0;0;0;0;0;0;0
873;Delmira Da Costa Silva;4;0;2;0;0;0;0;1;3;13;0;0;2000
874;Marcos Vinícius Santos Dos Anjos;0;0;0;0;0;0;0;0;0;0;0;0;2012
875;Telma Regina Batista Nascimento;0;0;0;0;0;0;0;0;0;0;0;0;2020
876;Jerônimo Pereira De França;0;0;0;0;0;0;0;0;0;1;0;0;2001
877;Fernando Cesário Rangel;0;0;0;0;0;1;0;0;0;8;0;0;2011
878;Afonso Mancuso De Mesquita;0;0;1;0;0;0;0;0;0;0;0;0;2018
879;Armando Sanca Sanca;0;0;0;0;0;0;0;0;0;0;0;0;2013
880;Rafael Costa Guimarães Farias;0;0;0;0;0;1;0;0;0;0;0;0;0
881;Viviane Guzzo de Carli Poelking;0;0;0;0;0;0;0;0;0;0;0;0;2012
882;Antônio Jorge Suzart Argôlo;0;0;0;1;0;0;0;0;0;5;0;0;2009
883;Delano Brito Almeida;0;0;0;0;0;0;0;0;0;0;0;0;0
884;Aprigio Augusto Lopes Bezerra;0;0;0;0;0;0;1;0;0;0;0;0;2015
885;Janio Laurentino De Jesus Santos;3;9;2;1;1;2;1;0;0;0;0;0;2008
886;Sumaya Medeiros Botêlho;0;0;0;0;2;0;0;0;0;0;0;0;2019
887;José Dirceu Campos Góes;0;0;0;0;0;0;0;0;0;0;0;0;2019
888;Carlos Helano Aquino Do Nascimento;0;0;0;0;0;0;0;0;0;0;0;1;0
889;Jorima Valoz Dos Santos;0;0;0;0;0;0;0;0;0;0;0;0;0
890;Marisa Oliveira Santos;0;0;4;2;1;0;0;4;0;0;0;0;2021
891;Hélcio Moreira Perin;0;0;0;0;0;0;0;0;0;0;0;1;2014
892;Gean Paulo Gonçalves Santana;0;0;0;0;0;0;2;0;0;11;0;0;2014
893;Reginaldo Santos Pereira;0;1;5;5;2;1;0;0;0;14;0;0;2015
894;Éverton Nery Carneiro;0;5;0;1;2;2;4;1;0;5;0;0;2015
895;Wesley Amaral Vieira;0;0;0;1;0;0;0;0;0;0;0;0;0
896;Fernanda De Castro Modl;0;0;2;0;0;0;2;0;0;21;0;0;2011
897;Edméia Campos Meira;0;0;0;0;2;0;0;0;0;0;0;0;2017
898;Maeve Mascarenhas De Cerqueira;0;0;0;0;0;0;0;0;0;0;0;0;2011
899;Agripino Souza Coelho Neto;2;5;1;1;2;0;0;0;0;12;0;0;2013
900;Amanda Silva Rodrigues;0;1;0;1;0;0;1;0;0;1;0;0;2021
901;Edna Bittelbrunn;0;0;0;0;0;0;0;0;0;0;0;0;2016
902;Adriana Maria Cunha Da Silva;0;1;0;0;1;0;0;0;0;6;0;0;2005
903;Lilian Brito Da Silva Fatal;0;0;0;1;1;0;2;0;0;0;0;0;0
904;Abel Augusto Conceição;4;1;4;0;0;0;0;0;4;4;0;0;2003
905;César Alberto Bravo Pariente;0;0;0;0;0;0;1;0;0;2;0;0;2004
906;José Carlos Morante Filho;13;1;5;0;0;1;0;0;2;7;0;0;2016
907;Rogério De Andrade Barros;0;0;0;1;5;0;0;2;0;0;0;0;2018
908;Karina Lima Sales;0;0;0;0;0;1;0;0;0;2;0;0;2019
909;Laio Magno;53;3;4;1;2;1;0;0;2;11;0;0;2017
910;Clarice Alves dos Santos;0;0;0;0;3;4;0;0;0;1;0;0;2018
911;Josane Moreira de Oliveira;0;0;6;4;2;0;0;0;3;20;0;0;2006
912;Tatiane de Oliveira Silva Alencar;0;0;0;1;4;0;0;1;0;5;0;0;2016
913;Rita De Cássia Brêda Mascarenhas Lima;0;0;0;0;0;0;0;0;0;0;0;0;2017
914;Emerson Antônio Rocha Melo De Lucena;1;1;1;3;0;0;1;4;0;0;0;0;2007
915;Alex Dos Santos Guimarães;0;0;0;0;0;0;0;0;0;0;0;0;0
916;Anna Christina Freire Barbosa;0;0;1;5;3;0;2;1;0;0;0;1;2015
917;Dejeane de Oliveira Silva;1;0;1;9;5;1;3;0;0;0;0;0;2018
918;Solange Montalvão De Oliveira;0;0;0;0;0;0;0;0;0;0;0;0;0
919;Cristina Arcuri Eluf Kindermann;0;0;0;0;0;0;0;0;0;0;0;0;2011
920;Ademir De Jesus Silva Júnior;1;0;2;0;0;0;0;0;0;2;0;0;2019
921;Margareth Leitao Gennari Cardoso;0;0;0;0;0;0;0;0;0;0;0;0;2000
922;Januária Araujo Bertani;0;0;0;0;0;0;0;0;0;0;0;0;2011
923;Isabelle Sanches Pereira;0;1;0;0;0;0;0;0;0;0;0;0;2018
924;Tharcilla Nascimento Da Silva Macena;0;0;0;0;1;0;0;0;0;0;0;0;0
925;Eduardo Frederico Luedy Marques;0;0;0;0;0;0;0;0;0;0;0;0;2008
926;Débora Leonardo Dos Santos;0;0;0;0;0;0;0;1;0;0;0;0;2003
927;Fredson Timbira Dias Dos Santos;0;0;0;0;0;0;0;0;0;0;0;0;0
928;Cristiane Dos Santos Namiuti;1;0;2;0;0;0;0;0;1;11;0;4;2008
929;Magnólia  Silva Queiroz;0;0;0;0;0;0;0;0;0;0;0;0;0
930;Eudaldo Francisco Dos Santos Filho;0;1;3;3;0;0;1;0;1;0;0;0;2014
931;Murilo Da Silva Alves;0;0;0;0;0;0;1;0;0;0;0;0;2022
932;Dayliz Quinto Pereira;0;0;0;0;0;0;0;0;0;0;0;0;2012
933;Marco Antonio Matos Martins;0;0;0;0;0;0;0;0;0;0;0;0;0
934;Jamille Da Silva Lima-Payayá;7;2;1;1;2;1;0;0;0;7;0;0;2019
935;Baktalaia De Lis Andrade Leal;1;0;0;0;0;0;0;0;0;0;0;0;2017
936;Marilde Queiroz Guedes;0;0;0;1;0;0;1;0;0;1;0;0;2010
937;Thiago Pereira Das Chagas;1;3;2;1;0;0;0;0;0;4;0;0;2013
938;Pedro Germano Dos Anjos;0;0;0;5;0;0;3;1;0;0;0;0;0
939;Nadia Virginia Barbosa Carneiro;0;0;0;0;0;0;0;0;0;0;0;0;2003
940;Maria Lúcia Porto Silva Nogueira;0;0;0;0;2;1;0;0;0;5;0;0;2016
941;René Becker Almeida Carmo;0;0;0;0;0;0;0;0;0;0;0;0;2009
942;Andréa Miura Da Costa;1;5;2;3;2;0;1;0;6;9;0;0;2007
943;Carlos Augusto Lucas Brandão;0;0;0;0;0;0;0;0;0;0;0;0;2000
944;João Luciano Andrioli;0;0;0;0;1;1;1;0;0;0;0;0;2003
945;Maricelia Maia de Lima;4;1;0;1;2;0;0;0;0;0;0;0;2020
946;Fábio Pedro Souza de Ferreira Bandeira;0;0;0;0;0;0;0;0;0;9;0;0;2002
947;Gilmário Moreira Brito;0;2;2;0;0;1;0;0;1;20;0;0;2001
948;Camila Leal Vieira;0;0;0;0;0;0;0;0;0;0;0;0;0
949;Roger Luiz Da Silva Almeida;0;0;0;0;0;0;0;0;0;0;0;0;2012
950;Jusceli Maria Oliveira De Carvalho Cardoso;0;0;0;0;0;0;11;0;0;0;0;0;2018
951;Ana Carolina Alvares Lavigne De Lemos Tavares;0;1;0;0;0;0;1;0;0;0;0;0;2022
952;Gilmar Mercês de Jesus;3;4;0;0;5;8;1;0;1;3;0;0;2016
953;Cláudia Regina Sobral Simões;0;0;0;0;0;0;0;0;0;0;0;0;0
954;Onildo Araujo Da Silva;0;0;0;0;1;0;1;0;0;0;0;0;2009
955;Alfredo Dib Abdul Nour;0;0;0;0;3;4;1;1;0;8;0;0;2010
956;Maria das Graças de Andrade Leal;1;0;0;0;0;0;0;0;0;17;0;0;2004
957;Simone Ribeiro Santos;4;4;1;1;0;0;0;0;0;5;0;0;2017
958;Sofia Silva De Souza;0;0;0;0;0;0;0;0;0;0;0;0;2014
959;Emanuel De Andrade Freire;0;0;0;0;0;0;0;0;0;0;0;0;0
960;Carlos Eduardo Iwai Drumond;3;1;0;0;1;1;0;0;0;7;0;0;2014
961;Geruza De Oliveira Ceita;0;0;0;0;0;0;0;0;0;0;0;0;2012
962;Luiz Thomaz Sarmento Conceição;0;0;0;0;0;0;0;0;0;0;0;0;0
963;Adson Dos Santos Bastos;0;0;0;1;0;0;0;0;0;0;0;0;2021
964;Francisco Jairan Dionizio Pedro;0;0;0;0;0;0;0;0;0;0;0;0;2022
965;Emanuel Ernesto Fernandes Santos;0;0;1;3;0;0;0;1;0;0;0;0;2007
966;Edicarla Dos Santos Marques;0;0;0;0;0;0;0;0;0;0;0;0;0
967;Glauber Sá Brandão;0;0;1;0;2;1;0;0;0;0;0;0;2018
968;Edna Furukawa Pimentel;0;0;0;0;0;0;0;0;0;0;0;0;2014
969;Núbia Da Silva Cruz;0;0;0;0;0;0;0;0;0;0;0;0;0
970;Luciano André Da Silva Almeida;0;0;0;0;0;0;0;0;0;0;0;0;2010
971;Katia Maria De Aguiar Barbosa;0;0;0;1;0;1;0;0;0;0;0;0;0
972;Airandes De Sousa Pinto;0;0;0;0;2;1;0;0;0;0;0;0;2019
973;Naira Souza Moura;0;0;0;0;0;0;0;0;0;0;0;0;0
974;Edson Barreto Lima;0;0;0;0;0;0;0;0;0;0;0;0;0
975;Marival Rodrigues Silva;0;0;0;0;0;0;0;1;0;0;0;0;0
976;Isabel Silva Silveira;0;0;0;0;0;0;0;0;0;0;0;0;0
977;Pedro Costa Campos Filho;0;0;0;1;1;1;2;2;0;0;0;0;2017
978;Cristiane Batista Da Silva Santos;1;1;0;0;0;0;0;0;0;2;0;0;2015
979;Walter Von Czékus Garrido;0;0;0;0;0;0;0;0;0;0;0;0;2021
980;Tonivaldo Barbosa De Souza;0;0;0;0;1;0;0;0;0;0;0;0;0
981;Mathias Santos De Brito;0;0;0;0;0;0;0;0;0;0;0;0;0
982;Jorsinai De Argolo Souza;0;0;0;0;1;1;0;0;0;0;0;0;2023
983;Cloves Dos Santos Araújo;0;1;0;0;0;0;0;0;0;0;0;0;2023
984;Davi Félix Martins Junior;0;0;0;1;1;0;0;1;0;0;0;0;2018
985;Fábio Santana Dos Reis;0;0;0;0;0;0;0;0;0;0;0;0;0
986;Elisa Prestes Massena;0;0;0;0;0;0;0;0;1;19;0;0;2010
987;Zenilda Fonseca De Jesus Souza;0;0;0;0;0;0;0;0;0;0;0;0;2020
988;Robério Rodrigues Silva;4;18;5;6;2;2;0;0;23;31;0;0;2008
989;Natan Silva Pereira;3;7;0;0;0;0;0;0;0;4;0;0;2015
990;Eurelino Teixeira Coelho Neto;1;1;0;0;0;0;0;1;0;0;0;0;2005
991;Ana Regina Da Silva Dias;0;0;0;0;0;0;0;0;0;0;0;0;2014
992;Gabriella Barbosa Santos;0;0;0;1;0;0;0;0;0;0;0;0;0
993;Marcia Lima De Jesus;0;0;0;0;0;0;0;0;0;0;0;0;2002
994;Ivana Conceição De Deus Nogueira;0;0;0;0;0;0;0;0;0;0;0;0;0
995;Maria Angélica De Lima Tasso;0;0;0;0;0;0;0;0;0;0;0;0;2012
996;Cândida Maria Lima Aguiar;0;0;1;0;0;2;1;0;0;0;0;0;2002
997;Bruna Gomes Lopes Sampaio Silva;0;0;0;0;0;0;0;0;0;0;0;0;0
998;Gerusa Soares Pinheiro;0;0;0;0;0;0;0;0;0;0;0;0;2020
999;Sandra Regina Magalhães De Araújo;0;1;0;0;0;0;0;0;0;0;0;0;2013
0;Dariana Viegas Andrade Penteado;0;0;0;0;0;0;0;0;0;0;0;0;0
1001;Ana Rita Queiroz Ferraz;0;0;0;1;0;0;0;0;0;0;0;0;2013
1002;Avaldo De Oliveira Soares Filho;0;0;0;0;0;0;0;2;0;0;0;0;2012
1003;Celina Nunes Bacellar;0;0;0;0;0;0;0;0;0;0;0;0;0
1004;Álvaro Santos Alves;1;1;0;0;0;0;0;0;0;7;0;0;2011
1005;Ângela Guimarães Martins;0;0;0;0;2;0;0;0;0;1;0;0;2005
1006;Weslem Liberato Silva;0;1;1;0;1;0;0;0;0;0;0;0;2012
1007;Diogo Radomille De Santana;0;0;0;0;0;0;0;0;0;0;0;0;0
1008;Afonso Henriques;6;2;1;0;1;0;0;1;1;12;1;0;2006
1009;Diego Gervasio Frías Suárez;1;0;3;0;1;0;0;0;0;2;0;0;1986
1010;Évila Ferreira De Oliveira;0;0;0;0;0;0;0;0;0;0;0;0;2016
1011;Ana Paula Santana Do Nascimento;0;0;0;0;0;1;0;0;0;0;0;0;0
1012;Leila Graziele De Almeida Brito;0;0;1;0;2;0;0;1;0;0;0;0;0
1013;Thereza Christina Bahia Coelho;2;1;0;1;1;1;3;1;0;0;0;0;2001
1014;Débora Diniz Bezerra;0;1;1;0;0;0;0;0;0;4;0;0;2007
1015;Ricardo Gassmann Figueiredo;4;5;0;0;3;0;0;0;0;0;0;0;0
1016;Mirela Vanina De Mello;0;0;0;0;0;0;0;0;0;13;0;2;2012
1017;Amanda Maria Nascimento Gomes;0;0;0;0;0;0;0;0;0;0;0;0;0
1018;Claudia Cerqueira Graça Carneiro;0;0;0;0;3;1;1;0;0;1;0;0;2009
1019;Hanilton Ribeiro de Souza;0;1;0;0;0;2;0;3;0;0;0;0;2018
1020;Sueli Barros Da Ressurreição;0;0;0;0;0;0;0;0;0;0;0;0;2015
1021;Josué Cândido Da Silva;0;0;0;1;1;1;0;0;0;0;0;0;2007
1022;Guilhermina Elisa Bessa Da Costa;0;0;0;0;0;0;0;0;0;0;0;0;0
1023;Luís Vítor Castro Júnior;0;0;0;0;1;3;0;0;0;0;0;0;2008
1024;Gilson Ruy Monteiro Teixeira;0;0;0;0;0;0;0;0;0;0;0;0;2016
1025;Jose Slaibi Filho;0;0;1;0;0;0;0;0;0;0;0;0;0
1026;Carla Cassiana Lima De Almeida Ribeiro;0;0;0;0;0;0;0;0;0;0;0;0;0
1027;Silvar Ferreira Ribeiro;1;0;1;2;2;2;0;0;1;0;0;5;2013
1028;Luciene Cristina Gastalho Campos Luiz;5;2;2;0;0;0;2;0;5;9;2;0;2008
1029;Larissa Pinca Sarro Gomes;4;3;4;0;1;0;0;0;0;9;0;0;2014
1030;Olga Suely Soares De Souza;0;0;0;0;0;0;0;0;0;0;0;0;2007
1031;Fátima Cristina Da Silva Oliveira;0;0;0;0;0;0;0;0;0;0;0;0;0
1032;Marcos Antônio Santos Bandeira;0;0;0;1;0;0;0;0;0;0;0;0;0
1033;Edmilson Patrocínio De Sousa;0;0;0;0;0;0;0;0;0;0;0;0;2016
1034;Mara Renata Rissatto Lago;1;0;0;1;2;0;1;1;0;0;0;0;2018
1035;Antonio Almeida da Silva;0;1;1;0;0;1;0;0;0;1;0;0;2018
1036;Mariângela Ribeiro Dos Santos;0;0;0;0;1;1;0;1;0;0;0;0;2023
1037;Emile Rocha Santana;0;2;0;0;1;0;0;0;0;0;0;0;0
1038;Vânia Rita Donadio Araújo;0;0;0;0;0;0;0;0;0;0;0;0;0
1039;Larissa Corrêa Do Bomfim Costa;0;0;0;1;0;0;0;1;2;3;0;0;2008
1040;Helida Santos Conceição;1;1;0;0;0;0;0;0;0;1;0;0;2018
1041;Luciano De Oliveira Souza Tourinho;0;2;1;6;2;3;3;1;0;0;0;0;2016
1042;Viviane Borges Dias;2;6;5;3;6;0;0;0;0;6;0;0;2018
1043;Elis Rejane Santana Da Silva;0;0;0;0;0;0;0;0;0;0;0;0;2020
1044;Marlúbia Corrêa De Paula;5;4;10;4;5;3;1;4;0;2;0;0;2018
1045;José Roberto Gomes Rodrigues;0;1;0;1;1;0;0;0;0;11;0;0;2009
1046;Ismar Eduardo Martins Filho;0;0;1;3;9;2;1;0;0;10;0;1;2013
1047;Murilo Da Costa Ferreira;0;0;0;0;0;0;0;0;0;2;0;0;2007
1048;Rodrigo Andres Jopia Salazar;0;0;0;0;0;0;0;0;0;0;0;0;0
1049;Carla Salati Almeida Ghirello-Pires;0;0;2;3;1;1;0;0;3;13;0;0;2010
1050;George Nathan Souza Brito;0;0;0;1;0;1;0;0;1;2;0;0;2017
1051;Antonio Fernando De Paula Costa Guimarães;0;0;0;0;0;0;0;0;0;0;0;0;2015
1052;Fabiana Cristina Bertoni;0;0;0;0;0;1;0;0;0;0;0;0;2007
1053;Maruedson Pires Martins;0;0;0;0;0;0;0;0;0;0;0;0;2004
1054;Angelo Amâncio Duarte;4;0;0;0;0;0;0;0;0;7;0;2;2007
1055;Maria Elisa Da Silva Santos;0;0;0;0;0;0;0;0;0;0;0;0;0
1056;Isaura Santana Fontes;0;0;0;0;0;0;0;0;2;0;0;0;2009
1057;Victor Travassos Sarinho;0;0;0;0;0;0;0;0;0;0;0;0;2013
1058;Sandra Suely De Oliveira Souza;0;0;0;0;0;0;0;0;0;1;0;0;2015
1059;Germano Pinto Guedes;19;2;11;0;2;0;0;0;0;0;0;0;2003
1060;Mônica Lemos Bitencourt;0;0;0;0;0;0;0;0;0;0;0;0;2015
1061;Ligia Regina Radomille De Santana;2;1;0;0;0;0;0;0;0;5;0;0;2009
1062;Adenilda Lima Lopes Martins;0;0;2;1;0;0;0;0;0;0;0;0;2018
1063;Ana Maria Fontes Dos Santos;0;0;0;0;0;0;0;0;0;0;0;0;2011
1064;Alessandra Cruz De Oliveira;0;0;0;0;0;0;0;0;0;0;0;0;0
1065;Maira Portofé De Mello;0;0;0;0;0;0;0;0;0;0;0;0;0
1066;Liliane Nunes Mendes Lopes;0;0;0;0;0;0;1;0;0;0;0;0;0
1067;Patricia Anjos Lima de Carvalho;0;1;2;2;3;2;0;0;0;1;0;0;2019
1068;Camila Leite Oliver;0;0;1;0;0;0;1;1;0;0;0;0;2020
1069;Ana Lucia Borges De Carvalho;0;0;0;0;0;0;0;0;0;0;0;0;1999
1070;Dario Augusto Oliveira Miranda;0;0;0;2;0;0;2;3;0;0;0;0;2013
1071;Leonardo Iusuti De Medeiros;0;17;0;0;2;0;0;0;0;0;0;0;0
1072;Marcos Rogério Neves;0;0;0;0;0;0;0;0;0;1;0;0;2007
1073;Suzana Modesto De Oliveira Brito;0;0;0;0;0;0;0;0;0;2;0;0;1999
1074;Maria de Fátima Berenice da Cruz;0;3;2;1;0;0;1;0;1;16;0;0;2009
1075;Wagnervalter Dutra Júnior;0;0;1;0;1;0;0;0;0;4;0;0;2015
1076;Heloisa Neves De Souza;0;0;0;0;0;0;0;0;0;0;0;0;0
1077;Abinalio Ubiratan Da Cruz Subrinho;0;0;0;2;5;1;1;0;0;0;0;0;0
1078;Gilce De Souza Almeida;0;0;0;0;2;0;0;0;0;2;0;0;2014
1079;Milenna Marques E Santos;0;0;1;0;0;0;0;0;0;0;0;0;1998
1080;Carlos Alberto Rodrigues;0;0;0;0;2;1;1;0;1;7;0;0;2003
1081;Rita De Cássia Braz Conceição Melo;0;0;0;0;0;0;0;0;0;0;0;0;0
1082;Lívia da Silva Modesto Rodrigues;0;1;0;0;0;1;0;0;0;0;0;0;2016
1083;Claudia Vivien Carvalho de Oliveira Soares;0;0;0;1;0;0;4;1;0;16;0;0;2011
1084;Marco Antonio Silva Trindade;0;3;1;2;2;1;0;0;1;3;0;0;2010
1085;Tânia Christiane Ferreira Bispo;0;0;0;3;2;3;5;0;0;5;0;0;2011
1086;Carlos Vitório De Oliveira;0;0;0;0;0;0;1;0;0;0;0;0;0
1087;Telma Cruz Costa;0;0;0;0;0;0;0;0;0;0;0;0;0
1088;Elba Medeiros Punski Dos Santos;0;0;0;0;0;0;0;0;0;0;0;0;2018
1089;Caroline Pereira Gusmão;0;0;0;0;0;0;0;0;0;0;0;0;0
1090;Priscila Teixeira Da Silva;0;0;0;0;0;1;0;0;0;0;0;0;2021
1091;Paulo De Tarso Velanes Borges;0;0;0;0;0;0;0;0;0;0;0;0;0
1092;Maria De Fátima Mendes Paixão;0;0;0;0;0;1;0;0;0;1;0;0;2006
1093;Maria Da Gloria Canto De Sousa;0;0;0;1;1;0;0;1;0;0;1;0;2016
1094;Murilo Barreto Souza;0;0;0;0;0;0;0;0;0;0;0;0;2011
1095;Claudio do Carmo Gonçalves;0;0;0;0;1;1;0;0;0;10;0;0;2001
1096;Joana Medrado Nascimento;0;0;0;0;0;0;1;0;0;0;0;0;2013
1097;Viviane Rocha Viana;0;0;0;0;0;0;0;0;0;0;0;0;2022
1098;Cesário Francisco das Virgens;1;3;2;2;0;0;1;0;0;11;2;0;2004
1099;Álvaro Vinícius De Souza Coêlho;0;0;0;0;0;0;0;0;0;0;0;0;2010
1100;Ana Lúcia Santos Souza;0;0;0;2;0;0;2;0;0;0;0;0;0
1101;Virginia Mota Lages Gomes;0;0;0;0;0;0;0;0;0;0;0;0;2014
1102;Ruy Albuquerque Tenório;0;0;0;0;0;0;0;0;0;1;0;0;2011
1103;Nilma Margarida de Castro Crusoé;1;5;2;3;2;1;0;0;0;36;0;0;2010
1104;Delcele Mascarenhas Queiroz;0;0;0;0;0;0;0;0;5;7;0;0;2001
